varnames,varlabels,zzz1,zzz2,zzz3,zzz4,zzz5,zzz6,zzz7,zzz8,zzz9,zzz10
"p_cotton_M","Push calls on cotton at midline",30,,,,,,,,,
"p_cumin_M","Push calls on cumin at midline",15,,,,,,,,,
"p_wheat_M","Push calls on wheat at midline",11,,,,,,,,,
"p_crop_planning_M","Push calls on crop_planning at midline",30,,,,,,,,,
"p_fertilizer_M","Push calls on fertilizer at midline",13,,,,,,,,,
"p_weather_M","Push calls on weather at midline",10,,,,,,,,,
"p_irrigation_M","Push calls on irrigation at midline",2,,,,,,,,,
"p_pest_management_M","Push calls on pest_management at midline",23,,,,,,,,,
"pct_p_cotton_M","Percentage of push calls on cotton at midline",.6818182,,,,,,,,,
"pct_p_cumin_M","Percentage of push calls on cumin at midline",.3409091,,,,,,,,,
"pct_p_wheat_M","Percentage of push calls on wheat at midline",.25,,,,,,,,,
"pct_p_crop_planning_M","Percentage of push calls on crop_planning at midline",.6818182,,,,,,,,,
"pct_p_fertilizer_M","Percentage of push calls on fertilizer at midline",.2954545,,,,,,,,,
"pct_p_weather_M","Percentage of push calls on weather at midline",.2272727,,,,,,,,,
"pct_p_irrigation_M","Percentage of push calls on irrigation at midline",.0454545,,,,,,,,,
"pct_p_pest_management_M","Percentage of push calls on pest_management at midline",.5227273,,,,,,,,,
"p_cotton_E","Push calls on cotton at endline",59,,,,,,,,,
"p_cumin_E","Push calls on cumin at endline",36,,,,,,,,,
"p_wheat_E","Push calls on wheat at endline",27,,,,,,,,,
"p_crop_planning_E","Push calls on crop_planning at endline",64,,,,,,,,,
"p_fertilizer_E","Push calls on fertilizer at endline",32,,,,,,,,,
"p_weather_E","Push calls on weather at endline",26,,,,,,,,,
"p_irrigation_E","Push calls on irrigation at endline",5,,,,,,,,,
"p_pest_management_E","Push calls on pest_management at endline",73,,,,,,,,,
"pct_p_cotton_E","Percentage of push calls on cotton at endline",.6210526,,,,,,,,,
"pct_p_cumin_E","Percentage of push calls on cumin at endline",.3789474,,,,,,,,,
"pct_p_wheat_E","Percentage of push calls on wheat at endline",.2842105,,,,,,,,,
"pct_p_crop_planning_E","Percentage of push calls on crop_planning at endline",.6736842,,,,,,,,,
"pct_p_fertilizer_E","Percentage of push calls on fertilizer at endline",.3368421,,,,,,,,,
"pct_p_weather_E","Percentage of push calls on weather at endline",.2736842,,,,,,,,,
"pct_p_irrigation_E","Percentage of push calls on irrigation at endline",.0526316,,,,,,,,,
"pct_p_pest_management_E","Percentage of push calls on pest_management at endline",.7684211,,,,,,,,,
"q_cotton_M","Questions on cotton at midline",679,,,,,,,,,
"q_cumin_M","Questions on cumin at midline",80,,,,,,,,,
"q_wheat_M","Questions on wheat at midline",26,,,,,,,,,
"q_crop_planning_M","Questions on crop_planning at midline",197,,,,,,,,,
"q_fertilizer_M","Questions on fertilizer at midline",106,,,,,,,,,
"q_irrigation_M","Questions on irrigation at midline",12,,,,,,,,,
"q_pest_management_M","Questions on pest_management at midline",739,,,,,,,,,
"q_weather_M","Questions on weather at midline",66,,,,,,,,,
"pct_q_cotton_M","Percentage of questions on cotton at midline",.4956204,,,,,,,,,
"pct_q_cumin_M","Percentage of questions on cumin at midline",.0583942,,,,,,,,,
"pct_q_wheat_M","Percentage of questions on wheat at midline",.0189781,,,,,,,,,
"pct_q_crop_planning_M","Percentage of questions on crop_planning at midline",.1437956,,,,,,,,,
"pct_q_fertilizer_M","Percentage of questions on fertilizer at midline",.0773723,,,,,,,,,
"pct_q_irrigation_M","Percentage of questions on irrigation at midline",.0087591,,,,,,,,,
"pct_q_pest_management_M","Percentage of questions on pest_management at midline",.5394161,,,,,,,,,
"pct_q_weather_M","Percentage of questions on weather at midline",.0481752,,,,,,,,,
"q_cotton_E","Questions on cotton at endline",960,,,,,,,,,
"q_cumin_E","Questions on cumin at endline",151,,,,,,,,,
"q_wheat_E","Questions on wheat at endline",43,,,,,,,,,
"q_crop_planning_E","Questions on crop_planning at endline",363,,,,,,,,,
"q_fertilizer_E","Questions on fertilizer at endline",154,,,,,,,,,
"q_irrigation_E","Questions on irrigation at endline",21,,,,,,,,,
"q_pest_management_E","Questions on pest_management at endline",1126,,,,,,,,,
"q_weather_E","Questions on weather at endline",88,,,,,,,,,
"pct_q_cotton_E","Percentage of questions on cotton at endline",.4617605,,,,,,,,,
"pct_q_cumin_E","Percentage of questions on cumin at endline",.0726311,,,,,,,,,
"pct_q_wheat_E","Percentage of questions on wheat at endline",.020683,,,,,,,,,
"pct_q_crop_planning_E","Percentage of questions on crop_planning at endline",.1746032,,,,,,,,,
"pct_q_fertilizer_E","Percentage of questions on fertilizer at endline",.0740741,,,,,,,,,
"pct_q_irrigation_E","Percentage of questions on irrigation at endline",.010101,,,,,,,,,
"pct_q_pest_management_E","Percentage of questions on pest_management at endline",.5416065,,,,,,,,,
"pct_q_weather_E","Percentage of questions on weather at endline",.042328,,,,,,,,,
"varnames","",,,,,,,,,,
"varlabels","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
"","",,,,,,,,,,
