k,model,outcome,regressor,coef,stderr,p,pwyoung,pbonf,psidak
1,"cap reghdfe cotton_index_bin_a ever_aos cotton_index_bin_a_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","cotton_index_bin_a","ever_aos",.12489466,.06487452,.05433894,.356,.86942302,.59095781
2,"cap reghdfe cotton_index_bin_a  ever_aos cotton_index_bin_a_b0  treatfrac if sample == 1 & round  >  1, absorb(village_no round peer) vce(r)","cotton_index_bin_a","ever_aos",.1471602,.06613829,.02618181,.182,.4450907,.36302258
3,"cap pdslasso cotton_index_bin_a  ever_aos ( _vill* ls_a0_2_age_BM ls_b1_1_BM ls_k1_3_1_BM ls_k1_3_2_BM ls_k1_3_3_BM ls_k1_3_4_BM ls_k1_3_5_BM ls_k1_3_6_BM ls_k1_3_7_BM ls_k1_3_8_BM ls_k1_3_9_BM ls_c1_3_BM ls_c1_5a_BM ls_c2_3_BM ls_c2_5a_BM ls_c3_3_BM ls_c3_5a_BM ls_cotton_yiel ls_wheat_yield ls_cumin_yield ls_totcost_pes ls_totcost_fer ls_totcost_irr ls_totcost_lab ls_a0_2_age_BM_sq ls_edu_years_B_sq ls_ag_income_B_sq ls_b1_1_BM_sq ls_c1_5a_BM_sq ls_c2_5a_BM_sq ls_c3_5a_BM_sq ls_cotton_yiel_sq ls_wheat_yield_sq ls_cumin_yield_sq ls_totcost_pes_sq ls_totcost_fer_sq ls_totcost_irr_sq ls_totcost_lab_sq ls_edu_years_B_mi ls_c2_5a_BM_mi ls_c3_5a_BM_mi ls_a0_2_age_BMXb1_1_BM ls_a0_2_age_BMXk1_3_1_BM ls_a0_2_age_BMXk1_3_2_BM ls_a0_2_age_BMXk1_3_3_BM ls_a0_2_age_BMXk1_3_4_BM ls_a0_2_age_BMXk1_3_5_BM ls_a0_2_age_BMXk1_3_6_BM ls_a0_2_age_BMXk1_3_7_BM ls_a0_2_age_BMXk1_3_8_BM ls_a0_2_age_BMXk1_3_9_BM ls_a0_2_age_BMXc1_3_BM ls_a0_2_age_BMXc1_5a_BM ls_a0_2_age_BMXc2_3_BM ls_a0_2_age_BMXc2_5a_BM ls_a0_2_age_BMXc3_3_BM ls_a0_2_age_BMXc3_5a_BM ls_a0_2_age_BMXcotton_yiel ls_a0_2_age_BMXwheat_yield ls_a0_2_age_BMXcumin_yield ls_a0_2_age_BMXtotcost_pes ls_a0_2_age_BMXtotcost_fer ls_a0_2_age_BMXtotcost_irr ls_a0_2_age_BMXtotcost_lab ls_edu_years_BXb1_1_BM ls_edu_years_BXk1_3_1_BM ls_edu_years_BXk1_3_2_BM ls_edu_years_BXk1_3_3_BM ls_edu_years_BXk1_3_4_BM ls_edu_years_BXk1_3_5_BM ls_edu_years_BXk1_3_6_BM ls_edu_years_BXk1_3_7_BM ls_edu_years_BXk1_3_8_BM ls_edu_years_BXk1_3_9_BM ls_edu_years_BXc1_3_BM ls_edu_years_BXc1_5a_BM ls_edu_years_BXc2_3_BM ls_edu_years_BXc2_5a_BM ls_edu_years_BXc3_3_BM ls_edu_years_BXc3_5a_BM ls_edu_years_BXcotton_yiel ls_edu_years_BXwheat_yield ls_edu_years_BXcumin_yield ls_edu_years_BXtotcost_pes ls_edu_years_BXtotcost_fer ls_edu_years_BXtotcost_irr ls_edu_years_BXtotcost_lab ls_ag_income_BXb1_1_BM ls_ag_income_BXk1_3_1_BM ls_ag_income_BXk1_3_2_BM ls_ag_income_BXk1_3_3_BM ls_ag_income_BXk1_3_4_BM ls_ag_income_BXk1_3_5_BM ls_ag_income_BXk1_3_6_BM ls_ag_income_BXk1_3_7_BM ls_ag_income_BXk1_3_8_BM ls_ag_incom","cotton_index_bin_a","ever_aos",.10901308,.06382005,.08761183,.46,1,.72297749
4,"cap reghdfe cumin_index_bin_a ever_aos cumin_index_bin_a_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","cumin_index_bin_a","ever_aos",.07692658,.13495042,.56871265,.844,1,.96878709
5,"cap reghdfe cumin_index_bin_a ever_aos cumin_index_bin_a_b0  treatfrac if sample == 1 & round  >  1, absorb(village_no round peer) vce(r)","cumin_index_bin_a","ever_aos",.08811942,.13615287,.51756534,.844,1,.96878709
6,"cap pdslasso cumin_index_bin_a ever_aos ( _vill* ls_a0_2_age_BM ls_b1_1_BM ls_k1_3_1_BM ls_k1_3_2_BM ls_k1_3_3_BM ls_k1_3_4_BM ls_k1_3_5_BM ls_k1_3_6_BM ls_k1_3_7_BM ls_k1_3_8_BM ls_k1_3_9_BM ls_c1_3_BM ls_c1_5a_BM ls_c2_3_BM ls_c2_5a_BM ls_c3_3_BM ls_c3_5a_BM ls_cotton_yiel ls_wheat_yield ls_cumin_yield ls_totcost_pes ls_totcost_fer ls_totcost_irr ls_totcost_lab ls_a0_2_age_BM_sq ls_edu_years_B_sq ls_ag_income_B_sq ls_b1_1_BM_sq ls_c1_5a_BM_sq ls_c2_5a_BM_sq ls_c3_5a_BM_sq ls_cotton_yiel_sq ls_wheat_yield_sq ls_cumin_yield_sq ls_totcost_pes_sq ls_totcost_fer_sq ls_totcost_irr_sq ls_totcost_lab_sq ls_edu_years_B_mi ls_c2_5a_BM_mi ls_c3_5a_BM_mi ls_a0_2_age_BMXb1_1_BM ls_a0_2_age_BMXk1_3_1_BM ls_a0_2_age_BMXk1_3_2_BM ls_a0_2_age_BMXk1_3_3_BM ls_a0_2_age_BMXk1_3_4_BM ls_a0_2_age_BMXk1_3_5_BM ls_a0_2_age_BMXk1_3_6_BM ls_a0_2_age_BMXk1_3_7_BM ls_a0_2_age_BMXk1_3_8_BM ls_a0_2_age_BMXk1_3_9_BM ls_a0_2_age_BMXc1_3_BM ls_a0_2_age_BMXc1_5a_BM ls_a0_2_age_BMXc2_3_BM ls_a0_2_age_BMXc2_5a_BM ls_a0_2_age_BMXc3_3_BM ls_a0_2_age_BMXc3_5a_BM ls_a0_2_age_BMXcotton_yiel ls_a0_2_age_BMXwheat_yield ls_a0_2_age_BMXcumin_yield ls_a0_2_age_BMXtotcost_pes ls_a0_2_age_BMXtotcost_fer ls_a0_2_age_BMXtotcost_irr ls_a0_2_age_BMXtotcost_lab ls_edu_years_BXb1_1_BM ls_edu_years_BXk1_3_1_BM ls_edu_years_BXk1_3_2_BM ls_edu_years_BXk1_3_3_BM ls_edu_years_BXk1_3_4_BM ls_edu_years_BXk1_3_5_BM ls_edu_years_BXk1_3_6_BM ls_edu_years_BXk1_3_7_BM ls_edu_years_BXk1_3_8_BM ls_edu_years_BXk1_3_9_BM ls_edu_years_BXc1_3_BM ls_edu_years_BXc1_5a_BM ls_edu_years_BXc2_3_BM ls_edu_years_BXc2_5a_BM ls_edu_years_BXc3_3_BM ls_edu_years_BXc3_5a_BM ls_edu_years_BXcotton_yiel ls_edu_years_BXwheat_yield ls_edu_years_BXcumin_yield ls_edu_years_BXtotcost_pes ls_edu_years_BXtotcost_fer ls_edu_years_BXtotcost_irr ls_edu_years_BXtotcost_lab ls_ag_income_BXb1_1_BM ls_ag_income_BXk1_3_1_BM ls_ag_income_BXk1_3_2_BM ls_ag_income_BXk1_3_3_BM ls_ag_income_BXk1_3_4_BM ls_ag_income_BXk1_3_5_BM ls_ag_income_BXk1_3_6_BM ls_ag_income_BXk1_3_7_BM ls_ag_income_BXk1_3_8_BM ls_ag_income_","cumin_index_bin_a","ever_aos",.08695557,.13408379,.51665086,.844,1,.96878709
7,"cap reghdfe wheat_index_bin_a ever_aos wheat_index_bin_a_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","wheat_index_bin_a","ever_aos",.11184111,.14445481,.43888006,.842,1,.96878709
8,"cap reghdfe wheat_index_bin_a ever_aos wheat_index_bin_a_b0  treatfrac if sample == 1 & round  >  1, absorb(village_no round peer) vce(r)","wheat_index_bin_a","ever_aos",.0901103,.14527195,.5351344,.844,1,.96878709
9,"cap pdslasso wheat_index_bin_a ever_aos ( _vill* ls_a0_2_age_BM ls_b1_1_BM ls_k1_3_1_BM ls_k1_3_2_BM ls_k1_3_3_BM ls_k1_3_4_BM ls_k1_3_5_BM ls_k1_3_6_BM ls_k1_3_7_BM ls_k1_3_8_BM ls_k1_3_9_BM ls_c1_3_BM ls_c1_5a_BM ls_c2_3_BM ls_c2_5a_BM ls_c3_3_BM ls_c3_5a_BM ls_cotton_yiel ls_wheat_yield ls_cumin_yield ls_totcost_pes ls_totcost_fer ls_totcost_irr ls_totcost_lab ls_a0_2_age_BM_sq ls_edu_years_B_sq ls_ag_income_B_sq ls_b1_1_BM_sq ls_c1_5a_BM_sq ls_c2_5a_BM_sq ls_c3_5a_BM_sq ls_cotton_yiel_sq ls_wheat_yield_sq ls_cumin_yield_sq ls_totcost_pes_sq ls_totcost_fer_sq ls_totcost_irr_sq ls_totcost_lab_sq ls_edu_years_B_mi ls_c2_5a_BM_mi ls_c3_5a_BM_mi ls_a0_2_age_BMXb1_1_BM ls_a0_2_age_BMXk1_3_1_BM ls_a0_2_age_BMXk1_3_2_BM ls_a0_2_age_BMXk1_3_3_BM ls_a0_2_age_BMXk1_3_4_BM ls_a0_2_age_BMXk1_3_5_BM ls_a0_2_age_BMXk1_3_6_BM ls_a0_2_age_BMXk1_3_7_BM ls_a0_2_age_BMXk1_3_8_BM ls_a0_2_age_BMXk1_3_9_BM ls_a0_2_age_BMXc1_3_BM ls_a0_2_age_BMXc1_5a_BM ls_a0_2_age_BMXc2_3_BM ls_a0_2_age_BMXc2_5a_BM ls_a0_2_age_BMXc3_3_BM ls_a0_2_age_BMXc3_5a_BM ls_a0_2_age_BMXcotton_yiel ls_a0_2_age_BMXwheat_yield ls_a0_2_age_BMXcumin_yield ls_a0_2_age_BMXtotcost_pes ls_a0_2_age_BMXtotcost_fer ls_a0_2_age_BMXtotcost_irr ls_a0_2_age_BMXtotcost_lab ls_edu_years_BXb1_1_BM ls_edu_years_BXk1_3_1_BM ls_edu_years_BXk1_3_2_BM ls_edu_years_BXk1_3_3_BM ls_edu_years_BXk1_3_4_BM ls_edu_years_BXk1_3_5_BM ls_edu_years_BXk1_3_6_BM ls_edu_years_BXk1_3_7_BM ls_edu_years_BXk1_3_8_BM ls_edu_years_BXk1_3_9_BM ls_edu_years_BXc1_3_BM ls_edu_years_BXc1_5a_BM ls_edu_years_BXc2_3_BM ls_edu_years_BXc2_5a_BM ls_edu_years_BXc3_3_BM ls_edu_years_BXc3_5a_BM ls_edu_years_BXcotton_yiel ls_edu_years_BXwheat_yield ls_edu_years_BXcumin_yield ls_edu_years_BXtotcost_pes ls_edu_years_BXtotcost_fer ls_edu_years_BXtotcost_irr ls_edu_years_BXtotcost_lab ls_ag_income_BXb1_1_BM ls_ag_income_BXk1_3_1_BM ls_ag_income_BXk1_3_2_BM ls_ag_income_BXk1_3_3_BM ls_ag_income_BXk1_3_4_BM ls_ag_income_BXk1_3_5_BM ls_ag_income_BXk1_3_6_BM ls_ag_income_BXk1_3_7_BM ls_ag_income_BXk1_3_8_BM ls_ag_income_","wheat_index_bin_a","ever_aos",.13368566,.14312076,.35026472,.79,1,.9687698
10,"cap reghdfe seed_index_bin_a ever_aos seed_index_bin_a_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","seed_index_bin_a","ever_aos",.09108453,.0479482,.05761289,.358,.86942302,.59095781
11,"cap reghdfe seed_index_bin_a ever_aos seed_index_bin_a_b0  treatfrac if sample == 1 & round  >  1, absorb(village_no round peer) vce(r)","seed_index_bin_a","ever_aos",.11315215,.04806429,.01865272,.132,.33574898,.2874604
12,"cap pdslasso seed_index_bin_a ever_aos ( _vill* ls_a0_2_age_BM ls_b1_1_BM ls_k1_3_1_BM ls_k1_3_2_BM ls_k1_3_3_BM ls_k1_3_4_BM ls_k1_3_5_BM ls_k1_3_6_BM ls_k1_3_7_BM ls_k1_3_8_BM ls_k1_3_9_BM ls_c1_3_BM ls_c1_5a_BM ls_c2_3_BM ls_c2_5a_BM ls_c3_3_BM ls_c3_5a_BM ls_cotton_yiel ls_wheat_yield ls_cumin_yield ls_totcost_pes ls_totcost_fer ls_totcost_irr ls_totcost_lab ls_a0_2_age_BM_sq ls_edu_years_B_sq ls_ag_income_B_sq ls_b1_1_BM_sq ls_c1_5a_BM_sq ls_c2_5a_BM_sq ls_c3_5a_BM_sq ls_cotton_yiel_sq ls_wheat_yield_sq ls_cumin_yield_sq ls_totcost_pes_sq ls_totcost_fer_sq ls_totcost_irr_sq ls_totcost_lab_sq ls_edu_years_B_mi ls_c2_5a_BM_mi ls_c3_5a_BM_mi ls_a0_2_age_BMXb1_1_BM ls_a0_2_age_BMXk1_3_1_BM ls_a0_2_age_BMXk1_3_2_BM ls_a0_2_age_BMXk1_3_3_BM ls_a0_2_age_BMXk1_3_4_BM ls_a0_2_age_BMXk1_3_5_BM ls_a0_2_age_BMXk1_3_6_BM ls_a0_2_age_BMXk1_3_7_BM ls_a0_2_age_BMXk1_3_8_BM ls_a0_2_age_BMXk1_3_9_BM ls_a0_2_age_BMXc1_3_BM ls_a0_2_age_BMXc1_5a_BM ls_a0_2_age_BMXc2_3_BM ls_a0_2_age_BMXc2_5a_BM ls_a0_2_age_BMXc3_3_BM ls_a0_2_age_BMXc3_5a_BM ls_a0_2_age_BMXcotton_yiel ls_a0_2_age_BMXwheat_yield ls_a0_2_age_BMXcumin_yield ls_a0_2_age_BMXtotcost_pes ls_a0_2_age_BMXtotcost_fer ls_a0_2_age_BMXtotcost_irr ls_a0_2_age_BMXtotcost_lab ls_edu_years_BXb1_1_BM ls_edu_years_BXk1_3_1_BM ls_edu_years_BXk1_3_2_BM ls_edu_years_BXk1_3_3_BM ls_edu_years_BXk1_3_4_BM ls_edu_years_BXk1_3_5_BM ls_edu_years_BXk1_3_6_BM ls_edu_years_BXk1_3_7_BM ls_edu_years_BXk1_3_8_BM ls_edu_years_BXk1_3_9_BM ls_edu_years_BXc1_3_BM ls_edu_years_BXc1_5a_BM ls_edu_years_BXc2_3_BM ls_edu_years_BXc2_5a_BM ls_edu_years_BXc3_3_BM ls_edu_years_BXc3_5a_BM ls_edu_years_BXcotton_yiel ls_edu_years_BXwheat_yield ls_edu_years_BXcumin_yield ls_edu_years_BXtotcost_pes ls_edu_years_BXtotcost_fer ls_edu_years_BXtotcost_irr ls_edu_years_BXtotcost_lab ls_ag_income_BXb1_1_BM ls_ag_income_BXk1_3_1_BM ls_ag_income_BXk1_3_2_BM ls_ag_income_BXk1_3_3_BM ls_ag_income_BXk1_3_4_BM ls_ag_income_BXk1_3_5_BM ls_ag_income_BXk1_3_6_BM ls_ag_income_BXk1_3_7_BM ls_ag_income_BXk1_3_8_BM ls_ag_income_B","seed_index_bin_a","ever_aos",.07733509,.04746382,.10323936,.486,1,.75745349
13,"cap reghdfe pest_index_bin_a ever_aos pest_index_bin_a_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","pest_index_bin_a","ever_aos",.05022849,.05842059,.3900092,.83,1,.9687698
14,"cap reghdfe pest_index_bin_a ever_aos pest_index_bin_a_b0  treatfrac if sample == 1 & round  >  1, absorb(village_no round peer) vce(r)","pest_index_bin_a","ever_aos",.06914597,.05899335,.24128738,.708,1,.95465625
15,"cap pdslasso pest_index_bin_a ever_aos ( _vill* ls_a0_2_age_BM ls_b1_1_BM ls_k1_3_1_BM ls_k1_3_2_BM ls_k1_3_3_BM ls_k1_3_4_BM ls_k1_3_5_BM ls_k1_3_6_BM ls_k1_3_7_BM ls_k1_3_8_BM ls_k1_3_9_BM ls_c1_3_BM ls_c1_5a_BM ls_c2_3_BM ls_c2_5a_BM ls_c3_3_BM ls_c3_5a_BM ls_cotton_yiel ls_wheat_yield ls_cumin_yield ls_totcost_pes ls_totcost_fer ls_totcost_irr ls_totcost_lab ls_a0_2_age_BM_sq ls_edu_years_B_sq ls_ag_income_B_sq ls_b1_1_BM_sq ls_c1_5a_BM_sq ls_c2_5a_BM_sq ls_c3_5a_BM_sq ls_cotton_yiel_sq ls_wheat_yield_sq ls_cumin_yield_sq ls_totcost_pes_sq ls_totcost_fer_sq ls_totcost_irr_sq ls_totcost_lab_sq ls_edu_years_B_mi ls_c2_5a_BM_mi ls_c3_5a_BM_mi ls_a0_2_age_BMXb1_1_BM ls_a0_2_age_BMXk1_3_1_BM ls_a0_2_age_BMXk1_3_2_BM ls_a0_2_age_BMXk1_3_3_BM ls_a0_2_age_BMXk1_3_4_BM ls_a0_2_age_BMXk1_3_5_BM ls_a0_2_age_BMXk1_3_6_BM ls_a0_2_age_BMXk1_3_7_BM ls_a0_2_age_BMXk1_3_8_BM ls_a0_2_age_BMXk1_3_9_BM ls_a0_2_age_BMXc1_3_BM ls_a0_2_age_BMXc1_5a_BM ls_a0_2_age_BMXc2_3_BM ls_a0_2_age_BMXc2_5a_BM ls_a0_2_age_BMXc3_3_BM ls_a0_2_age_BMXc3_5a_BM ls_a0_2_age_BMXcotton_yiel ls_a0_2_age_BMXwheat_yield ls_a0_2_age_BMXcumin_yield ls_a0_2_age_BMXtotcost_pes ls_a0_2_age_BMXtotcost_fer ls_a0_2_age_BMXtotcost_irr ls_a0_2_age_BMXtotcost_lab ls_edu_years_BXb1_1_BM ls_edu_years_BXk1_3_1_BM ls_edu_years_BXk1_3_2_BM ls_edu_years_BXk1_3_3_BM ls_edu_years_BXk1_3_4_BM ls_edu_years_BXk1_3_5_BM ls_edu_years_BXk1_3_6_BM ls_edu_years_BXk1_3_7_BM ls_edu_years_BXk1_3_8_BM ls_edu_years_BXk1_3_9_BM ls_edu_years_BXc1_3_BM ls_edu_years_BXc1_5a_BM ls_edu_years_BXc2_3_BM ls_edu_years_BXc2_5a_BM ls_edu_years_BXc3_3_BM ls_edu_years_BXc3_5a_BM ls_edu_years_BXcotton_yiel ls_edu_years_BXwheat_yield ls_edu_years_BXcumin_yield ls_edu_years_BXtotcost_pes ls_edu_years_BXtotcost_fer ls_edu_years_BXtotcost_irr ls_edu_years_BXtotcost_lab ls_ag_income_BXb1_1_BM ls_ag_income_BXk1_3_1_BM ls_ag_income_BXk1_3_2_BM ls_ag_income_BXk1_3_3_BM ls_ag_income_BXk1_3_4_BM ls_ag_income_BXk1_3_5_BM ls_ag_income_BXk1_3_6_BM ls_ag_income_BXk1_3_7_BM ls_ag_income_BXk1_3_8_BM ls_ag_income_B","pest_index_bin_a","ever_aos",.04338791,.05709542,.44730289,.844,1,.96878709
16,"cap reghdfe fert_index_bin_a ever_aos fert_index_bin_a_b0 if sample == 1 & round > 1, absorb(village_no round) vce(r)","fert_index_bin_a","ever_aos",.1288863,.12252077,.29293803,.772,1,.9687698
17,"cap reghdfe fert_index_bin_a ever_aos fert_index_bin_a_b0  treatfrac if sample == 1 & round  >  1, absorb(village_no round peer) vce(r)","fert_index_bin_a","ever_aos",.12614593,.12399002,.30908313,.79,1,.9687698
18,"cap pdslasso fert_index_bin_a ever_aos ( _vill* ls_a0_2_age_BM ls_b1_1_BM ls_k1_3_1_BM ls_k1_3_2_BM ls_k1_3_3_BM ls_k1_3_4_BM ls_k1_3_5_BM ls_k1_3_6_BM ls_k1_3_7_BM ls_k1_3_8_BM ls_k1_3_9_BM ls_c1_3_BM ls_c1_5a_BM ls_c2_3_BM ls_c2_5a_BM ls_c3_3_BM ls_c3_5a_BM ls_cotton_yiel ls_wheat_yield ls_cumin_yield ls_totcost_pes ls_totcost_fer ls_totcost_irr ls_totcost_lab ls_a0_2_age_BM_sq ls_edu_years_B_sq ls_ag_income_B_sq ls_b1_1_BM_sq ls_c1_5a_BM_sq ls_c2_5a_BM_sq ls_c3_5a_BM_sq ls_cotton_yiel_sq ls_wheat_yield_sq ls_cumin_yield_sq ls_totcost_pes_sq ls_totcost_fer_sq ls_totcost_irr_sq ls_totcost_lab_sq ls_edu_years_B_mi ls_c2_5a_BM_mi ls_c3_5a_BM_mi ls_a0_2_age_BMXb1_1_BM ls_a0_2_age_BMXk1_3_1_BM ls_a0_2_age_BMXk1_3_2_BM ls_a0_2_age_BMXk1_3_3_BM ls_a0_2_age_BMXk1_3_4_BM ls_a0_2_age_BMXk1_3_5_BM ls_a0_2_age_BMXk1_3_6_BM ls_a0_2_age_BMXk1_3_7_BM ls_a0_2_age_BMXk1_3_8_BM ls_a0_2_age_BMXk1_3_9_BM ls_a0_2_age_BMXc1_3_BM ls_a0_2_age_BMXc1_5a_BM ls_a0_2_age_BMXc2_3_BM ls_a0_2_age_BMXc2_5a_BM ls_a0_2_age_BMXc3_3_BM ls_a0_2_age_BMXc3_5a_BM ls_a0_2_age_BMXcotton_yiel ls_a0_2_age_BMXwheat_yield ls_a0_2_age_BMXcumin_yield ls_a0_2_age_BMXtotcost_pes ls_a0_2_age_BMXtotcost_fer ls_a0_2_age_BMXtotcost_irr ls_a0_2_age_BMXtotcost_lab ls_edu_years_BXb1_1_BM ls_edu_years_BXk1_3_1_BM ls_edu_years_BXk1_3_2_BM ls_edu_years_BXk1_3_3_BM ls_edu_years_BXk1_3_4_BM ls_edu_years_BXk1_3_5_BM ls_edu_years_BXk1_3_6_BM ls_edu_years_BXk1_3_7_BM ls_edu_years_BXk1_3_8_BM ls_edu_years_BXk1_3_9_BM ls_edu_years_BXc1_3_BM ls_edu_years_BXc1_5a_BM ls_edu_years_BXc2_3_BM ls_edu_years_BXc2_5a_BM ls_edu_years_BXc3_3_BM ls_edu_years_BXc3_5a_BM ls_edu_years_BXcotton_yiel ls_edu_years_BXwheat_yield ls_edu_years_BXcumin_yield ls_edu_years_BXtotcost_pes ls_edu_years_BXtotcost_fer ls_edu_years_BXtotcost_irr ls_edu_years_BXtotcost_lab ls_ag_income_BXb1_1_BM ls_ag_income_BXk1_3_1_BM ls_ag_income_BXk1_3_2_BM ls_ag_income_BXk1_3_3_BM ls_ag_income_BXk1_3_4_BM ls_ag_income_BXk1_3_5_BM ls_ag_income_BXk1_3_6_BM ls_ag_income_BXk1_3_7_BM ls_ag_income_BXk1_3_8_BM ls_ag_income_B","fert_index_bin_a","ever_aos",.14707067,.12179846,.2272427,.708,1,.95465625
